"Data Source","WDI Database Archives",

"Last Updated Date","2019-05-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Curacao","CUW","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Czech Republic","CZE","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","0","0","0","0","0","0","0","0","0","0","0","12045000000","19371000000","12672000000","13266000000","9537000000","19272000000","19800000000","19800000000","19800000000","19800000000","19800000000","19800000000","19800000000","19800000000","19800000000","19800000000","19800000000","19800000000","19800000000","12753000000","12605000000","12737000000","13150000000","12794000000","15847000000","42012000000","49351000000","55062000000","70798000000","69650000000","67324000000","68031000000","68079000000","67262000000","62517000000","52481000000","41035000000","23414000000","22578000000","21460000000","17144000000","16214000000","","","","","","","",
"Germany","DEU","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","2739000000","5016000000","6171000000","21483000000","52338000000","82236000000","101178000000","124707000000","213972000000","315744000000","481404000000","701250000000","916014000000","1351416000000","2002737000000","2144439000000","1981056000000","2040027000000","2252580000000","2446686000000","2177670000000","1711545000000","1363923000000","1332606000000","1253802000000","923505000000","983763000000","1087548000000","1093653000000","1272975000000","1335180000000","1191531000000","1085337000000","1140942000000","1328283000000","1424940000000","1584594000000","1641024000000","1776390000000","1817079000000","1732335000000","1928190000000","1797963000000","1930665000000","2075082000000","2151338000000","2130156000000","1995992000000","2016042000000","1808680000000","1722606000000","1171930000000","770000000000","","","","","","","",
"Djibouti","DJI","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9702000000","18381000000","12078000000","21120000000","22836000000","22902000000","27357000000","35673000000","52437000000","75240000000","119955000000","187407000000","223740000000","268224000000","298848000000","289555000000","306009000000","316483000000","322222000000","328173000000","272358000000","263310000000","182209000000","162457000000","154753000000","157620000000","83388000000","46717000000","","","","","","","",
"Dominican Republic","DOM","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26840000000","13997000000","26086000000","34301000000","47251000000","44101000000","39504000000","43690000000","35761000000","","","","","","","","",
"Algeria","DZA","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","28578000000","40623000000","50886000000","67947000000","79068000000","94677000000","107349000000","137544000000","176418000000","197802000000","224268000000","255156000000","289905000000","315282000000","345906000000","380589000000","367059000000","418308000000","461076000000","498135000000","537989000000","571319000000","608302000000","625934000000","622611000000","652575000000","679635000000","734085000000","787941000000","811305000000","850773000000","890802000000","944427000000","1000296000000","1011863000000","959184000000","940576000000","900703000000","774710000000","623822000000","526966000000","","","","","","","","",
