Thousand million barrels,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,tt,uu
Total Middle East,362.411087,365.265147,388.90202200000004,396.9208,430.75525000000005,431.73171,537.1277,566.5769,653.034619,661.029383,659.6144,660.820289,661.593418,661.932351,663.562195,663.308307,673.99529,683.2283299999999,685.24173,685.83371,696.68857,698.6673900000001,741.34586,745.74204,750.07338,755.53146,755.86672,752.8514999999999,753.6854999999999,753.11604,765.94694,797.9368,799.2583000000001,802.8979850000001,803.0722529999998,802.9250529999999,807.73791005,834.33323,833.86373,836.0084299999999,835.941691,-0.00007983053472304658,0.01049664500791092,0.4825432999599945,,
Algeria,8.199999999999998,8.08,9.44,9.22,9,8.820000000000002,8.8,8.564,9.2,9.236,9.2,9.2,9.2,9.2,9.979,9.979,10.8,11.2,11.314,11.314,11.314,11.314,11.314,11.800000000000002,11.800000000000002,12.27,12.27,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,0,0,0.007042391021878023,,
Angola,1.375,1.108,1.457,1.715,2.147,2.0180000000000002,1.4,1.9999999999999998,1.9999999999999998,2.074,1.625,1.45,1.3339999999999999,1.9009999999999998,2.9650000000000003,3.125,3.695,3.8999999999999995,4.03,5.050000000000001,5.972,6.5,8.9,8.801,9.035,9.05,9.33,9.5,9.5,9.5,9.055,9.055,9.055,9.011,8.423,9.524,9.523,8.384,8.16,7.783000000000001,7.783000000000001,0,-0.019737604908610873,0.004492699124858743,,
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0.0008658677485915603,,
Republic of Congo,0.70544,0.733045,0.7544249999999999,0.738345,0.7984309999999999,0.756,0.7197,0.695,0.75,0.71,0.7545,0.6982999999999999,0.725,0.6505,1.4126999999999998,1.3497000000000001,1.6,1.615,1.6999999999999997,1.6999999999999997,1.505913,1.505913,1.515,1.785,1.784,1.9049999999999998,1.9399999999999997,1.9399999999999997,1.9399999999999997,2,2,2,2,2.673,2.867,2.982,2.982,2.982,2.982,2.882,2.882,0,0.037209290262093075,0.0016636205676272512,,
Egypt,2.9164499999999998,3.5302999999999995,3.699625,3.958598999999999,4.0256,3.8,4.5,4.6850000000000005,4.2705,4.299999999999999,3.459,3.5353,3.435,3.4249999999999994,3.941,3.804,3.8435,3.7190000000000003,3.7567000000000004,3.767,3.6269,3.668,3.525,3.525,3.62,3.7200000000000006,3.7200000000000006,4.069999999999999,4.2,4.4,4.5,4.299999999999999,4.2,3.9000000000000004,3.681,3.473,3.384,3.325,3.197,3.146,3.146,0,-0.032990803882944175,0.0018160132913793657,,
Equatorial Guinea,,,,,,,,,,,,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.555,0.555,0.555,0.555,0.555,0.7999999999999999,1.11,1.095,1.28,1.765,1.805,1.755,1.705,1.705,1.705,1.705,1.705,1.705,1.705,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0,-0.04287903288005923,0.0006349696823004776,,
Gabon,0.4709250000000001,0.463488,0.481785,0.5473,0.623,0.6570000000000001,0.646,0.9600000000000002,0.9300000000000002,0.9586000000000001,0.8599999999999999,0.876,0.7684,0.662,1.4,1.47,2.8,2.6723000000000003,2.565,2.565,2.42,2.4,2.37,2.285,2.19,2.1459999999999995,2.15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0.0011544903314554137,,
Libya,20.33,22.6,22.186,21.784,21.425,21.3,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,29.5,29.5,29.5,29.5,29.5,36,36,36,39.126,39.126,41.464,41.464,43.663,44.271,46.422,47.097,48.014,48.472,48.363,48.363,48.363,48.363,48.363,48.363,48.363,48.363,0,0.004104558095592958,0.027917307950089086,,
Nigeria,16.699999999999996,16.5,16.749999999999996,16.55,16.65,16.6,16.066,15.979999999999999,15.999999999999998,15.999999999999998,17.1,19.999999999999996,20.991000000000003,20.991000000000003,20.991000000000003,20.828,20.828,20.828,22.5,29,29,31.506,34.349,35.255,35.876,36.22,37.2,37.2,37.2,37.2,37.2,36.247,37.139,37.071000000000005,37.448,37.062,37.453,37.453,36.972,36.89000000000001,36.89000000000001,0,-0.0008364749266865923,0.02129457416369511,,
