"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Cameroon","CMR","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.19320999427809","8.80126738250308","7.14162199550406","7.06899474487201","6.1982773180206","6.17989417989418","6.18874773139746","6.19310793237971","5.99289730689553","","","","","",
"Congo, Dem. Rep.","COD","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.530292986875249","1.01497081958894","1.05974301231951","1.01858925388337","1.01201771030993","1.01278642866186","0","0","0.0791855203619909","0.0447327219861329","","","","","",
"Congo, Rep.","COG","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","7.95454545454545","7.84313725490196","8.33333333333333","9.09090909090909","7.61904761904762","7.01754385964912","4.80769230769231","1.51515151515152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.2857142857143","16.8765743073048","18.013856812933","17.8807947019868","17.6904176904177","18.6550976138829","34.5083487940631","43.75","38.1283836040217","41.9411764705882","43.1831480397894","45.2873563218391","46.6551326412918","","","","","",
"Colombia","COL","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","9.21784981935358","9.7463664861784","8.69527823170207","7.66316115063409","17.4387131699018","18.2182985553772","18.0966113914924","18.3032886022001","18.9529071297027","19.2800547784408","19.699667902007","21.0260571634659","24.3658589827549","20.7559104926069","17.9707011592798","15.6472986748216","15.058577007334","14.4129407488186","12.1103803259937","12.3745083477735","12.9386320627197","14.9981787275376","14.1212168365362","11.9466782583496","12.9974716733777","12.0866196208662","20.8608900347495","23.8857830144553","15.2982111998505","19.1373913043478","19.9921734726762","18.1630478220328","14.6666380180916","14.1052716265412","14.6989292170769","13.7208220961592","11.8951904968854","10.3060531302513","19.1464417575111","20.1433764135703","12.5268420621261","14.4277968494337","16.5553283998963","15.2686454336695","19.3430604054074","","","","","",
"Comoros","COM","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Caribbean small states","CSS","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","1.76108988204021","3.62780813600486","4.94788047255038","2.23231667748215","2.51060820367751","0.255264837268666","0.470517569326259","0.425531914893617","0.24385838150289","0.337603878116343","0.528842242291107","0.319698335929175","0.440194292653309","0.205988376370191","0.199422362811168","0.164052759367413","0.159744408945687","0.105684305880577","0.0433350667360028","0.127249590983458","0.342666109486001","0.0642106108034353","0.0755515261408281","0.0918987699703096","0.650268589199887","6.43803477780845","8.69478445981905","8.22275965749395","7.79030511497548","10.1897533206831","11.9675067161315","12.6254725589884","13.5588074564333","14.1454834316841","14.3503591832117","13.4261869854517","13.0424785882623","11.5653153153153","11.3522899934882","10.3814002089864","14.4273468966229","14.5406151419558","","","","","",
"Curacao","CUW","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
