"Data Source","WDI Database Archives",

"Last Updated Date","2019-05-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Germany","DEU","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","0","792000000","3300000000","1848000000","3432000000","3861000000","8745000000","40425000000","58278000000","162921000000","214302000000","205128000000","314226000000","399498000000","477147000000","796554000000","974589000000","1361415000000","1447809000000","1718112000000","1834437000000","2162589000000","2456058000000","2576079000000","3442461000000","4575153000000","4306137000000","4676925000000","5175060000000","5335143000000","5031444000000","4858557000000","5240532000000","5058108000000","4973199000000","5052003000000","5280528000000","5620824000000","5334252000000","5610132000000","5596998000000","5653065000000","5439786000000","5446980000000","5513145000000","5054705000000","4683532000000","3653884000000","3415385000000","3103436000000","2811120000000","1511594000000","1094060000000","","","","","","","",
"Djibouti","DJI","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",
"Dominican Republic","DOM","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Algeria","DZA","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"East Asia & Pacific","EAP","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52932000000","486948000000","423489000000","473173000000","475794000000","465300000000","493317000000","552321000000","576576000000","829191000000","1430286000000","1665477000000","1645728000000","1535604000000","1615380000000","1573062000000","1402680000000","1034320000000","949850000000","","","","","","","","",
"Early-demographic dividend","EAR","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (all income levels)","EAS","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","0","0","0","0","0","0","13800000000","13800000000","23000000000","25300000000","105800000000","184000000000","218500000000","223261000000","453077000000","577875000000","783817000000","732067000000","1479061000000","1837102000000","2168141000000","2331855000000","2743693000000","3269680000000","3924835000000","4716150000000","5365344000000","6244800000000","5736453000000","5945730000000","6912600000000","7321464000000","7527216000000","8240448000000","9057696000000","9754368000000","10278010000000","10726800000000","11350944000000","11353080000000","11670072000000","11638776000000","11493048000000","10846008000000","12074784000000","13070256000000","13125312000000","12226512000000","11921061000000","11639562000000","9479994000000","4234450000000","","","","","","","","",
"Europe & Central Asia","ECA","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","0","0","0","0","0","0","0","0","0","0","0","12200000012.1858","18409000422.5084","24696009713.101","83154171193.4045","162290392592.502","248981363332.856","282665394202.253","289336273910.139","314874728639.887","359439792860.656","486713201233.272","571852018149.267","710790727485.103","850401794209.994","1000801168840.94","1026620366526.1","1202890264101.06","1420928271732.14","1373601088416.08","6107159000000","6057360000000","5901584000000","5971146000000","5268559000000","5514499000000","6199652000000","6236992000000","6034249000000","6184076000000","6609106000000","6811049000000","7070052000000","7237347000000","7320780000000","6819526000000","6106644000000","5607954000000","4824324000000","3830776000000","2189158000000","1501962000000","","","","","","","","",
